fold,train,oos,train_spread_sharpe,w_5d,w_10d,w_15d,w_20d,w_30d,w_50d,w_100d,w_200d,w_365d,oos_5d_spread_sharpe,oos_5d_long_avg,oos_5d_spread_avg,oos_20d_spread_sharpe,oos_20d_long_avg,oos_20d_spread_avg,oos_60d_spread_sharpe,oos_60d_long_avg,oos_60d_spread_avg,oos_120d_spread_sharpe,oos_120d_long_avg,oos_120d_spread_avg,oos_250d_spread_sharpe,oos_250d_long_avg,oos_250d_spread_avg
1,2007-01-04/2010-01-03,2010-01-04/2011-01-03,-0.4558418393135071,0.15726317662740072,0.4374573085989786,0.1157680964234252,0.034492597497362734,0.11337715271706464,0.014091028960604811,0.04131337062494746,0.07457276947132527,0.011664499078890625,-0.17881706357002258,-0.0007347266073338687,-0.006435799412429333,-0.049639541655778885,0.0069372947327792645,-0.002735602669417858,-0.02656858041882515,0.03664444386959076,-0.0021008749026805162,0.10399100929498672,0.07150480151176453,0.010439334437251091,-0.04815947636961937,0.0015657056355848908,-0.005955497734248638
2,2008-01-04/2011-01-03,2011-01-04/2012-01-03,-0.3398474156856537,0.07175264992295646,0.052792252614742095,0.38302926731666626,0.21559758321414368,0.11305773673023789,0.04854394767418003,0.0512047883117444,0.011668473958696872,0.05235330025663234,-0.3101975917816162,-0.012171704322099686,-0.0078549450263381,-0.5815511345863342,-0.0392518974840641,-0.026817509904503822,-0.5740984082221985,-0.0898861512541771,-0.04289614409208298,-1.2963223457336426,-0.16539739072322845,-0.07535349577665329,-0.5216134190559387,-0.2647489905357361,-0.03920581564307213
3,2009-01-04/2012-01-03,2012-01-04/2013-01-03,-0.2666560411453247,0.07672608260924962,0.011782946414533741,0.016936289072522582,0.03774082848862041,0.5074846630987216,0.2625280027547974,0.07965823819611478,0.004233607094783649,0.002909342270656194,-0.48140671849250793,-0.006403996609151363,-0.015112476423382759,-0.5335829257965088,-0.011228973045945168,-0.032394248992204666,-0.6381596326828003,-0.027293561026453972,-0.04977492243051529,-0.4589892029762268,-0.020370252430438995,-0.04583673179149628,-0.12272385507822037,0.08092840760946274,-0.02802753821015358
4,2010-01-04/2013-01-03,2013-01-04/2014-01-03,-0.21812187135219574,0.01804495740757527,0.17014048800768702,0.2706343651006801,0.060462232294467164,0.10473315738923655,0.04076371246238812,0.03618805792502117,0.22665488059655683,0.07237814881638768,0.033275362104177475,0.002168594393879175,0.0013132360763847828,0.3695002794265747,0.018773913383483887,0.02714035101234913,0.9039374589920044,0.060596171766519547,0.09503988921642303,1.0919885635375977,0.07772073894739151,0.13824622333049774,0.5982000827789307,0.162403866648674,0.11333724856376648
5,2011-01-04/2014-01-03,2014-01-04/2015-01-03,0.1599290817975998,0.06884889470148302,0.018202290267873462,0.04334410441283706,0.07506266869975944,0.12995972670169403,0.0038322074780920297,0.06736932357289713,0.04945852593486878,0.5439222582304951,-0.11209190636873245,0.003391328500583768,-0.00376486056484282,-0.23773902654647827,0.012678052298724651,-0.0164402574300766,-0.7243431806564331,0.05967194586992264,-0.08656571805477142,-0.4087446928024292,0.3241490423679352,-0.10925351083278656,0.03910982236266136,0.7163094282150269,0.010465653613209724
6,2012-01-04/2015-01-03,2015-01-04/2016-01-03,-0.015002843923866749,0.024923495995831685,0.08121855172019059,0.2650701373149078,0.06969782306625326,0.04580211575160506,0.05638764050981133,0.048636078277270976,0.06021698138370318,0.3480471759804261,-0.3275451064109802,0.0001799239544197917,-0.02111918106675148,-0.6310881972312927,-0.013253477402031422,-0.0707026943564415,-0.5033782720565796,-0.004452166147530079,-0.1113211065530777,-0.8206349611282349,-0.16305510699748993,-0.14944854378700256,-1.5225684642791748,-0.280245304107666,-0.25882774591445923
7,2013-01-04/2016-01-03,2016-01-04/2017-01-03,-0.124925896525383,0.02077396910890883,0.024511088517090912,0.05937547819018207,0.07639062327012118,0.016748935953130355,0.049871554298525085,0.21595603573458885,0.41942636097536695,0.11694595395208555,-0.4595225751399994,-0.009198525920510292,-0.012925305403769016,-0.6983802318572998,-0.025474529713392258,-0.036823078989982605,-1.0511215925216675,-0.04993407800793648,-0.07223647087812424,-1.147081732749939,-0.10658785700798035,-0.12162350863218307,-0.8002708554267883,-0.1625259667634964,-0.1361539363861084
8,2014-01-04/2017-01-03,2017-01-04/2018-01-03,-0.5130510926246643,0.05072721844537926,0.12691049585478117,0.1486095624910764,0.48758745993060376,0.04161691537389327,0.013790603564915266,0.007406051312726688,0.07902063885939947,0.04433105416722472,-0.029463043436408043,-0.003377651097252965,-0.0011086014565080404,0.029058974236249924,-0.00597020611166954,0.0022626484278589487,0.27318471670150757,-0.032330017536878586,0.02726806327700615,0.7095534801483154,-0.04118659347295761,0.07427661865949631,0.8423407077789307,-0.1731017827987671,0.10681769251823425
9,2015-01-04/2018-01-03,2018-01-04/2019-01-03,-0.3109201192855835,0.21593274272955457,0.20696754915823387,0.08498999350349701,0.007920720043908477,0.06828567467551905,0.020060476338698795,0.06913681344329446,0.01392028319850038,0.31278574690879357,-0.16242370009422302,-0.01109381951391697,-0.006331195589154959,-0.13964174687862396,-0.03489645943045616,-0.011027616448700428,-0.21145889163017273,-0.056151457130908966,-0.02233441360294819,-0.16805975139141083,-0.07932117581367493,-0.027025513350963593,0.04789040610194206,-0.00086212158203125,0.0076288566924631596
10,2016-01-04/2019-01-03,2019-01-04/2020-01-03,-0.20041194558143616,0.10629070955778142,0.06821384670215669,0.030599872576742397,0.021232936527881614,0.12394225834239891,0.07746629167870366,0.17641042227681178,0.22139030802703064,0.17445335431049291,-0.208220437169075,0.001264409627765417,-0.007093304768204689,-0.15477772057056427,0.016533037647604942,-0.010776708833873272,0.634926438331604,0.05246502161026001,0.04377143085002899,1.352562427520752,0.1155603900551796,0.14802366495132446,1.397597074508667,0.33215340971946716,0.28340476751327515
