fold,train,oos,train_spread_sharpe,w_5d,w_10d,w_15d,w_20d,w_30d,w_50d,w_100d,w_200d,w_365d,oos_5d_spread_sharpe,oos_5d_long_avg,oos_5d_spread_avg,oos_20d_spread_sharpe,oos_20d_long_avg,oos_20d_spread_avg,oos_60d_spread_sharpe,oos_60d_long_avg,oos_60d_spread_avg,oos_120d_spread_sharpe,oos_120d_long_avg,oos_120d_spread_avg,oos_250d_spread_sharpe,oos_250d_long_avg,oos_250d_spread_avg
1,2011-06-23/2014-06-22,2014-06-23/2015-06-22,0.12192489951848984,0.24407764474826024,0.2415393489281779,0.1291113253394284,0.02392829723091854,0.09428780823627518,0.03116751755650653,0.14063226620088656,0.07862235850848157,0.01663343325106497,0.01035350188612938,0.019123269245028496,0.0006162722129374743,-0.05004255473613739,0.046118028461933136,-0.006060377229005098,0.0067953378893435,0.06965918093919754,0.0010419737081974745,0.1012677475810051,0.08084558695554733,0.015149136073887348,0.46276015043258667,0.035906486213207245,0.09047693759202957
2,2012-06-23/2015-06-22,2015-06-23/2016-06-22,0.025015993043780327,0.11334770309850464,0.3829227435245008,0.03418139156793286,0.01440151688196844,0.01888290982556505,0.008720872718303348,0.010464253298633522,0.12940072257204727,0.28767788651254406,-0.28125619888305664,-0.01138333696871996,-0.011533195152878761,-0.2688513994216919,-0.02131044864654541,-0.014109398238360882,-0.33610105514526367,-0.028669415041804314,-0.021314216777682304,-0.11202003806829453,0.0014167468762025237,-0.009412690065801144,-0.5640243887901306,0.10099627822637558,-0.08877179026603699
3,2013-06-23/2016-06-22,2016-06-23/2017-06-22,0.12623627483844757,0.02133989779105459,0.02890368813944813,0.2506321418142615,0.0022035821875863886,0.11007121452495583,0.014295312734225539,0.03103103750265103,0.34286581019401846,0.19865731511179863,0.12293214350938797,0.006622164975851774,0.002203464275225997,0.4078800678253174,0.027248064056038857,0.015856411308050156,0.429839164018631,0.07392367720603943,0.04103919863700867,0.6477174758911133,0.1772296279668808,0.11360269784927368,1.662962555885315,0.3862389028072357,0.30591240525245667
4,2014-06-23/2017-06-22,2017-06-23/2018-06-22,0.13183599710464478,0.01804495740757527,0.17014048800768702,0.2706343651006801,0.060462232294467164,0.10473315738923655,0.04076371246238812,0.03618805792502117,0.22665488059655683,0.07237814881638768,0.208833247423172,0.008895439095795155,0.005086105316877365,0.4224916398525238,0.023554667830467224,0.019109491258859634,0.6853309273719788,0.0440751276910305,0.04614151641726494,1.1549493074417114,0.023855790495872498,0.08586131036281586,0.7623574733734131,-0.044815029948949814,0.0806153193116188
5,2015-06-23/2018-06-22,2018-06-23/2019-06-22,0.3398219048976898,0.11044339886220204,0.10165769384318521,0.04660603606054054,0.06254006788468057,0.012811322287482399,0.0013815210231363064,0.15879474435327892,0.04396733915232763,0.46179787653316645,-0.4433846175670624,-0.004086736124008894,-0.009790260344743729,-0.4099840521812439,-0.003415307030081749,-0.017011407762765884,-0.2009095698595047,-0.0068506901152431965,-0.018325667828321457,0.16778165102005005,0.03364326059818268,0.01775657758116722,1.136629343032837,0.1619945466518402,0.2708508372306824
6,2016-06-23/2019-06-22,2019-06-23/2020-06-22,0.26645928621292114,0.09768869616826253,0.07389329597187193,0.005885547318190703,0.15717464809029666,0.07807947065009868,0.03545287942065592,0.4364119512044459,0.06004410011130634,0.055369411064871324,0.05260055139660835,0.0020607984624803066,0.0032101331744343042,0.3100322484970093,0.02621592953801155,0.03706607222557068,0.7228424549102783,0.09262754768133163,0.1413297951221466,0.8608859777450562,0.15071381628513336,0.2215581089258194,0.14221526682376862,0.36573055386543274,0.08618464320898056
7,2017-06-23/2020-06-22,2020-06-23/2021-06-22,0.4131823480129242,0.008991770112971543,0.0007990872512936865,0.2831251818599673,0.09398175903509455,0.008966313059836096,0.04505857425994479,0.021209909151214287,0.3304196393800874,0.20744776588959024,0.04835904762148857,0.020074913278222084,0.0028418859001249075,0.288258820772171,0.06692640483379364,0.033946722745895386,0.3773857355117798,0.1833827644586563,0.07446081936359406,0.0676361545920372,0.27992674708366394,0.014433312229812145,-0.6230626702308655,0.2124699503183365,-0.27840596437454224
8,2018-06-23/2021-06-22,2021-06-23/2022-06-22,0.3957950174808502,0.020745872858128657,0.019377433758737954,0.2482489270186958,0.045762330335153964,0.012580500795861576,0.025060061086711816,0.1017871920371449,0.3882017563033196,0.13823592580624575,-0.033628370612859726,0.001410371158272028,-0.001818002201616764,0.08435394614934921,0.0009103644988499582,0.008703531697392464,0.2054954469203949,-0.015715476125478745,0.029095062986016273,0.4452839195728302,-0.044030267745256424,0.06450662016868591,-0.0792422816157341,-0.025679539889097214,-0.02014235407114029
9,2019-06-23/2022-06-22,2022-06-23/2023-06-22,0.4800685942173004,0.05668831013004959,0.14258134453894658,0.053194716753137465,0.017870720788976637,0.166313051850828,0.09976193262352984,0.19741554023173935,0.2518680389876396,0.014306344095153033,-0.21533043682575226,-0.004717177711427212,-0.00985600333660841,-0.2747412621974945,-0.012883919291198254,-0.03829047456383705,-0.4408213496208191,-0.04013895243406296,-0.10827424377202988,-0.8078811168670654,-0.050357088446617126,-0.11759789288043976,-0.15818339586257935,-0.03102525882422924,-0.030482761561870575
10,2020-06-23/2023-06-22,2023-06-23/2024-06-22,0.030903764069080353,0.0020039891005362107,0.1550641597922801,0.029254673911617835,0.3634392058747548,0.0011746998324132104,0.21931271821608359,0.07631034390779835,0.12753235635225024,0.02590785301226573,0.0051620216108858585,0.0055948724038898945,0.00020621555449906737,-0.02374272421002388,0.0174541138112545,-0.002257910557091236,0.21024560928344727,0.03011462464928627,0.02748604118824005,0.24483807384967804,0.09519793093204498,0.049345988780260086,0.024325266480445862,0.2585073411464691,0.006986505351960659
